campaignType,targetAudience,channels,estimatedDurationDays,teamSize,mediaBudget,externalCosts,fixedCosts,mainGoals,keyDeliverables,metrics,dependencies,risks,contingencyPercent,estimatedBudget
"Awareness","B2C","Social|Display",30,4,6000,2000,500,"Notoriété","Visuels;Landing","Impressions;Reach","Aucun","Faible engagement",8,12000
"Retention","Millennials","Email|Social",33,3,2625,765,208,"Engagement","Offers;Content","Open rate;CTR","CRM","Segmentation",6,9125
"Launch","B2B","LinkedIn|Webinar",51,5,10050,8150,1205,"Démonstrations","Webinar;Demo","Registrations;Demos","Dev","Bug produit",10,32350
"Branding","SMB","Social|Email",36,4,5100,1475,410,"Image locale","Visuels;Emails","Engagement;Open rate","Local partners","Mauvaise cible",8,12450
"Acquisition","B2C","SEA|Social",20,6,12550,2030,572,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour élevé",9,20350
"Awareness","B2B","PR|LinkedIn",34,3,3275,1135,288,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture",7,9625
"Retention","GenZ","App|Push",26,4,2825,625,222,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out",6,8175
"Launch","B2C","Influencer|Social",17,5,16550,4025,1025,"Ventes initiales","Influencer posts;Promo","Sales;Engagement","Logistique","Livraison lente",12,27600
"Branding","Millennials","Social|Events",60,6,8925,5825,900,"Image marque","Event;Content","Sentiment;Reach","Event permits","Annulation",11,23950
"Acquisition","B2B","LinkedIn|SEA",35,5,17950,3450,985,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle long",10,29850
"Awareness","B2C","Radio|Social",20,3,4180,835,200,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",7,9350
"Retention","SMB","Email|Support",77,2,865,300,110,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",5,4025
"Launch","B2B","Events|PR",113,8,24550,19950,3010,"Adoption","Event;PR","Leads;Coverage","Legal","Problème conformité",15,72400
"Branding","GenZ","Instagram|Influencer",30,4,8850,2000,510,"Notoriété","Visuels;UGC","Engagement;Shares","Creators","Rejet contenu",9,14800
"Acquisition","B2C","SEA|Display",25,5,10000,1790,468,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC",8,16900
"Awareness","B2B","LinkedIn|Webinar",49,4,6050,2015,415,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",7,14100
"Retention","B2C","Email|SMS",28,3,1975,595,162,"Réachat","Offers;Reminders","Repeat;Open","DB","Opt-out",6,7450
"Launch","SMB","Email|SEA",33,5,14950,2985,695,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug",11,25650
"Branding","B2C","OOH|TV",77,7,50650,12000,2555,"Notoriété","Spot;OOH","Reach;Recall","Production","Coût",14,86250
"Acquisition","GenZ","Social|Influencer",26,4,7025,1015,302,"Installs","Ads;Creators","CPI;Engagement","App","Rejet",9,12550
"Awareness","B2C","Display|Video",38,3,6480,930,260,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo",7,11550
"Retention","Millennials","Email|Social",34,3,2925,745,218,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation",6,9275
"Launch","B2B","LinkedIn|Events",55,6,10950,8925,1300,"Demos","Event;Case studies","Registrations;Demos","Sales","Speakers",10,33650
"Branding","SMB","Social|Email",38,4,5250,1585,425,"Image locale","Visuels;Emails","Engagement;Open","Partners","Ciblage",8,12650
"Acquisition","B2C","SEA|Social",23,5,12300,2100,560,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",9,20050
"Awareness","B2B","PR|LinkedIn",36,3,3400,1165,300,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture",7,9800
"Retention","GenZ","App|Push",27,4,2890,610,230,"Engagement","Push;Offers","DAU;Retention","App","Opt-out",6,8275
"Launch","B2C","Social|Influencer",19,6,17050,4140,1090,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison",12,28400
"Branding","Millennials","Social|Events",62,6,9000,5900,905,"Image marque","Event;Content","Sentiment;Reach","Permits","Annulation",11,24150
"Acquisition","B2B","LinkedIn|SEA",36,5,18300,3525,1005,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle",10,30250
"Awareness","B2C","Radio|Social",22,3,4280,855,210,"Notoriété","Spot;Posts","Reach;Impr","Production","Diffusion",7,9400
"Retention","SMB","Email|Support",79,2,900,320,115,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",5,4200
"Launch","B2B","Events|PR",119,8,25750,20500,3150,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",15,74850
"Branding","GenZ","TikTok|Influencer",29,4,9180,2090,518,"Notoriété","Shorts;UGC","Views;Engagement","Creators","Rejet",9,15180
"Acquisition","B2C","SEA|Display",24,5,10150,1810,478,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC",8,17150
"Awareness","B2B","LinkedIn|Webinar",50,4,6150,2035,420,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",7,14250
"Retention","B2C","Email|SMS",29,3,2050,605,168,"Réachat","Offers;Reminders","Repeat;Open","DB","Opt-out",6,7550
"Launch","SMB","Email|SEA",31,5,15150,3035,715,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug",11,26050
"Branding","B2C","OOH|TV",79,7,51050,12120,2585,"Notoriété","Spot;OOH","Reach;Recall","Production","Coût",14,87050
"Acquisition","GenZ","Social|Influencer",27,4,7100,1055,308,"Installs","Ads;Creators","CPI;Engagement","App","Rejet",9,12850
"Awareness","B2C","Display|Video",39,3,6650,945,270,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo",7,11850
"Retention","Millennials","Email|Social",35,3,3050,760,225,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation",6,9450
"Launch","B2B","LinkedIn|Events",57,6,11350,9300,1350,"Demos","Event;Case studies","Registrations;Demos","Sales","Speakers",10,34550
"Branding","SMB","Social|Email",39,4,5350,1610,435,"Image locale","Visuels;Emails","Engagement;Open","Partners","Ciblage",8,12900
"Acquisition","B2C","SEA|Social",25,5,12750,2175,585,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",9,20750
"Awareness","B2B","PR|LinkedIn",37,3,3500,1190,315,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture",7,10000
"Retention","GenZ","App|Push",28,4,2985,645,238,"Engagement","Push;Offers","DAU;Retention","App","Opt-out",6,8425
"Launch","B2C","Social|Influencer",21,6,17550,4275,1135,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison",12,29250
"Branding","Millennials","Social|Events",64,6,9150,6050,920,"Image marque","Event;Content","Sentiment;Reach","Permits","Annulation",11,24350
"Acquisition","B2B","LinkedIn|SEA",38,5,18750,3600,1035,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle",10,30750
"Awareness","B2C","Radio|Social",23,3,4380,875,225,"Notoriété","Spot;Posts","Reach;Impr","Production","Diffusion",7,9450
"Retention","SMB","Email|Support",83,2,940,340,120,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps",5,4350
"Launch","B2B","Events|PR",121,8,26100,20850,3270,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",15,76800
"Branding","GenZ","Instagram|UGC",30,4,9400,2140,540,"Notoriété","UGC;Visuels","Views;Engagement","Creators","Rejet",9,15400
"Acquisition","B2C","SEA|Display",28,5,10300,1875,492,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC",8,17400
"Awareness","B2B","LinkedIn|Webinar",52,4,6400,2075,445,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",7,14500
"Retention","B2C","Email|SMS",30,3,2200,640,175,"Réachat","Offers;Reminders","Repeat;Open","DB","Opt-out",6,7700
"Launch","SMB","Email|SEA",32,5,15300,3055,735,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug",11,26350
"Branding","B2C","OOH|TV",76,7,51300,12280,2615,"Notoriété","Spot;OOH","Reach;Recall","Production","Coût",14,87600
"Acquisition","GenZ","Social|Influencer",26,4,7250,1075,320,"Installs","Ads;Creators","CPI;Engagement","App","Rejet",9,13050
"Awareness","B2C","Display|Video",40,3,6800,985,280,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo",7,12050
"Retention","Millennials","Email|Social",36,3,3200,785,240,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation",6,9750
"Launch","B2B","LinkedIn|Events",59,6,11600,9650,1410,"Demos","Event;Case studies","Registrations;Demos","Sales","Speakers",10,35200
"Branding","SMB","Social|Email",41,4,5650,1710,465,"Image locale","Visuels;Emails","Engagement;Open","Partners","Ciblage",8,13550
"Acquisition","B2C","SEA|Social",27,5,13150,2320,635,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",9,21500
"Awareness","B2B","PR|LinkedIn",39,3,3700,1230,340,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture",7,10400
"Retention","GenZ","App|Push",30,4,3150,680,255,"Engagement","Push;Offers","DAU;Retention","App","Opt-out",6,8700
"Launch","B2C","Social|Influencer",24,6,18200,4430,1190,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison",12,30500
"Acquisition","B2C","SEA|Social",29,5,11750,2420,585,"Ventes","Landing;Ads","CPA;CTR","SEO","CPC élevé",8,17500
"Awareness","B2C","Social|Display",26,4,6850,1420,385,"Notoriété","Visuels;Bannières","Impressions;Reach","Création","Faible reach",7,10850
"Retention","SMB","Email|CRM",57,2,1420,585,192,"Fidélisation","Emails;Programmes","Open rate;Churn","Support","Données incomplètes",5,4320
"Launch","B2B","LinkedIn|Events",87,6,13650,9720,1465,"Lancement produit","Event;Demo","Leads;Demos","Dev","Retard livraison",12,34900
"Branding","GenZ","TikTok|Influencer",33,4,9120,2070,492,"Notoriété","Shorts;UGC","Views;Engagement","Creators","Contenu rejeté",9,15250
"Acquisition","B2C","SEA|Display",27,5,10700,1730,442,"Conversions","Ads;Landing","CPA;ROAS","SEO","Concurrence CPC",8,16100
"Awareness","B2B","PR|LinkedIn",41,3,4820,1140,292,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture limitée",7,9200
"Retention","B2C","Email|SMS",22,3,1760,485,153,"Réachat","Offers;Reminders","Repeat rate;Open","DB","Opt-out",6,5120
"Launch","SMB","Email|SEA",43,5,15650,3360,772,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug signup",11,27200
"Branding","Millennials","Social|Events",58,6,9720,5880,882,"Image marque","Event;Content","Sentiment;Reach","Permits","Annulation event",10,22400
"Acquisition","B2B","LinkedIn|Email",47,5,19400,3860,982,"Leads","Ads;Case studies","CPL;MQL","Sales","Cycle long",12,31700
"Awareness","B2C","Radio|Social",23,3,4430,892,213,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",7,9620
"Retention","SMB","Support|Email",81,2,970,308,112,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",5,4100
"Launch","B2B","Events|PR",116,8,29600,21600,3160,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",15,81400
"Branding","GenZ","Instagram|Influencer",31,4,8820,1970,502,"Notoriété","Visuels;UGC","Engagement;Shares","Creators","Rejet contenu",9,14800
"Acquisition","B2C","SEA|Social",24,5,10200,1660,460,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC élevé",8,16450
"Awareness","B2B","LinkedIn|Webinar",46,4,6920,2030,408,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",7,13300
"Retention","B2C","App|Push",32,3,2460,682,197,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out massifs",6,6710
"Launch","SMB","Social|Influencer",16,6,14650,3910,970,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison lente",12,26300
"Branding","B2C","OOH|Social",54,5,9020,4060,688,"Notoriété locale","Affiches;Posts","Reach;Recall","Permis locaux","Refus emplacement",9,19150
"Acquisition","GenZ","Social|Influencer",23,4,7880,1070,303,"Installs","Ads;Creators","CPI;Engagement","App store","Rejet app",9,12250
"Awareness","B2C","Display|Video",35,3,6060,972,248,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo non validée",7,10900
"Retention","Millennials","Email|Social",33,3,2510,770,200,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation faible",6,9020
"Launch","B2B","LinkedIn|Events",53,6,11180,9220,1260,"Demos","Event;Case studies","Registrations;Demos","Sales","Disponibilité speakers",10,33100
"Branding","SMB","Social|Email",35,4,5000,1430,392,"Image locale","Visuels;Emails","Engagement;Open rate","Local partners","Ciblage",8,12000
"Acquisition","B2C","SEA|Social",21,6,12250,1990,562,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",9,19650
"Awareness","B2B","Display|PR",42,3,3830,1145,296,"Visibilité","Ads;Communiqué","Impressions;Mentions","Aucun","Faible reach",7,9730
"Retention","GenZ","App|Social",25,4,2660,632,216,"Engagement","In-app offers;Content","DAU;Retention","App team","Crash app",6,8020
"Launch","B2C","Social|SEA",18,6,16600,4060,1070,"Ventes initiales","Campagne;Landing","Sales;CPA","Stock","Retour produit élevé",12,28500
"Branding","Millennials","Social|PR",55,4,6920,2470,492,"Image de marque","Communiqué;Visuels","Sentiment;Reach","Agence PR","Mauvaise couverture",8,15200
"Acquisition","B2B","LinkedIn|SEA",37,5,18050,3490,988,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle long",10,29500
"Awareness","B2C","TV|Social",70,8,60300,14650,2920,"Notoriété","Spot TV;Social","Reach;Impressions","Production","Coût production élevé",15,88600
"Retention","SMB","Email|Webinar",23,2,1510,672,183,"Fidélisation","Webinar;Follow-up","Attendance;NPS","Support","Faible participation",6,5920
"Launch","B2B","Events|LinkedIn",89,6,14050,9980,1510,"Lancement produit","Event;Brochure","Leads;Meetings","Dev release","Retard livraison",12,35600
"Branding","GenZ","TikTok|UGC",32,4,9220,2040,503,"Notoriété","UGC;Shorts","Views;Engagement","Creators","Contenu rejeté",9,15450
"Acquisition","B2C","SEA|Social",27,5,10900,1705,450,"Conversions","Landing;A/B tests","CPA;CTR","SEO","CPC élevé",8,16700
"Awareness","B2B","LinkedIn|Display",44,3,8010,2020,402,"Notoriété","Whitepaper;Ads","Impressions;CTR","Sales enablement","Faible reach",7,15050
"Retention","B2C","Email|SMS",24,3,1810,502,156,"Réachat","Offers;Reminders","Repeat rate;Open","DB update","Opt-out",6,5220
"Launch","SMB","Email|Events",59,6,11950,9120,1485,"Onboarding clients","Event;Docs","Sign-ups;Trials","Legal approval","Retard approbation",11,37900
"Branding","B2C","OOH|TV",51,5,8980,4020,695,"Notoriété locale","Affiches;Social","Reach;Recall","Permis locaux","Refus emplacement",9,19550
"Acquisition","GenZ","Social|Influencer",25,4,8080,1190,309,"Installations","Ads;Influencer","CPI;Engagement","App store","Rejet app",9,12950
"Awareness","B2C","Display|Video",36,3,6320,968,254,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo non validée",7,11250
"Retention","Millennials","Email|Social",32,3,2630,760,207,"Engagement","Offers;Content","Open rate;CTR","CRM","Segmentation",6,9100
"Launch","B2B","LinkedIn|Webinar",51,5,10080,8120,1210,"Démonstrations","Webinar;Demo","Registrations;Demos","Dev","Bug produit",10,32200
"Branding","SMB","Social|Email",36,4,5080,1465,408,"Image locale","Visuels;Emails","Engagement;Open rate","Local partners","Mauvaise cible",8,12350
"Acquisition","B2C","SEA|Social",20,6,12450,2010,570,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour élevé",9,20350
"Awareness","B2B","PR|LinkedIn",33,3,3250,1125,287,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture",7,9600
"Retention","GenZ","App|Push",26,4,2800,628,223,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out",6,8150
"Launch","B2C","Influencer|Social",17,5,16450,4005,1015,"Ventes initiales","Influencer posts;Promo","Sales;Engagement","Logistique","Livraison lente",12,27400
"Branding","Millennials","Social|Events",60,6,8890,5800,898,"Image marque","Event;Content","Sentiment;Reach","Event permits","Annulation",11,23850
"Acquisition","B2B","LinkedIn|SEA",35,5,17850,3440,980,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle long",10,29750
"Awareness","B2C","Radio|Social",20,3,4160,830,202,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",7,9300
"Retention","SMB","Email|Support",76,2,860,302,110,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",5,4030
"Launch","B2B","Events|PR",112,8,24450,19850,3005,"Adoption","Event;PR","Leads;Coverage","Legal","Problème conformité",15,72000
"Branding","GenZ","Instagram|Influencer",30,4,8800,2005,508,"Notoriété","Visuels;UGC","Engagement;Shares","Creators","Rejet contenu",9,14750
"Acquisition","B2C","SEA|Display",25,5,10020,1785,468,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC",8,16920
"Awareness","B2B","LinkedIn|Webinar",49,4,6020,2005,412,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",7,14050
"Retention","B2C","Email|SMS",28,3,1980,598,163,"Réachat","Offers;Reminders","Repeat;Open","DB","Opt-out",6,7480
"Launch","SMB","Email|SEA",33,5,14980,2990,695,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug",11,25750
"Branding","B2C","OOH|TV",77,7,50550,12030,2565,"Notoriété","Spot;OOH","Reach;Recall","Production","Coût",14,86150
"Acquisition","GenZ","Social|Influencer",26,4,7005,1010,300,"Installs","Ads;Creators","CPI;Engagement","App","Rejet",9,12450
"Awareness","B2C","Display|Video",38,3,6460,935,262,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo",7,11550
"Retention","Millennials","Email|Social",34,3,2890,740,215,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation",6,9250
"Launch","B2B","LinkedIn|Events",55,6,10900,8900,1295,"Demos","Event;Case studies","Registrations;Demos","Sales","Speakers",10,33500
"Branding","SMB","Social|Email",38,4,5220,1575,422,"Image locale","Visuels;Emails","Engagement;Open","Partners","Ciblage",8,12600
"Acquisition","B2C","SEA|Social",23,5,12200,2080,555,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",9,19950
"Awareness","B2B","PR|LinkedIn",36,3,3380,1155,295,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture",7,9750
"Retention","GenZ","App|Push",27,4,2860,612,228,"Engagement","Push;Offers","DAU;Retention","App","Opt-out",6,8250
"Launch","B2C","Social|Influencer",19,6,16850,4090,1065,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison",12,28050
"Branding","Millennials","Social|Events",61,6,8970,5860,902,"Image marque","Event;Content","Sentiment;Reach","Permits","Annulation",11,24050
"Acquisition","B2B","LinkedIn|SEA",36,5,18100,3495,995,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle",10,30100
"Awareness","B2C","Radio|Social",21,3,4240,845,208,"Notoriété","Spot;Posts","Reach;Impr","Production","Diffusion",7,9380
"Retention","SMB","Email|Support",79,2,895,315,114,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",5,4180
"Launch","B2B","Events|PR",118,8,25650,20450,3140,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",15,74600
"Branding","GenZ","TikTok|Influencer",29,4,9150,2095,515,"Notoriété","Shorts;UGC","Views;Engagement","Creators","Rejet",9,15100
"Acquisition","B2C","SEA|Display",24,5,10100,1820,475,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC",8,17100
"Awareness","B2B","LinkedIn|Webinar",50,4,6120,2030,423,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",7,14180
"Retention","B2C","Email|SMS",29,3,2040,610,170,"Réachat","Offers;Reminders","Repeat;Open","DB","Opt-out",6,7540
"Launch","SMB","Email|SEA",31,5,15120,3030,720,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug",11,26000
"Branding","B2C","OOH|TV",79,7,50950,12140,2580,"Notoriété","Spot;OOH","Reach;Recall","Production","Coût",14,86900
"Acquisition","GenZ","Social|Influencer",27,4,7090,1045,307,"Installs","Ads;Creators","CPI;Engagement","App","Rejet",9,12700
"Awareness","B2C","Display|Video",39,3,6620,945,268,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo",7,11750
"Retention","Millennials","Email|Social",35,3,3010,755,222,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation",6,9400
"Launch","B2B","LinkedIn|Events",57,6,11320,9280,1345,"Demos","Event;Case studies","Registrations;Demos","Sales","Speakers",10,34400
"Branding","SMB","Social|Email",39,4,5330,1605,433,"Image locale","Visuels;Emails","Engagement;Open","Partners","Ciblage",8,12850
"Acquisition","B2C","SEA|Social",25,5,12650,2160,580,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",9,20650
"Awareness","B2B","PR|LinkedIn",37,3,3490,1185,310,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture",7,9920
"Retention","GenZ","App|Push",28,4,2950,640,235,"Engagement","Push;Offers","DAU;Retention","App","Opt-out",6,8400
"Launch","B2C","Social|Influencer",21,6,17350,4255,1125,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison",12,29050
"Branding","Millennials","Social|Events",63,6,9100,6000,915,"Image marque","Event;Content","Sentiment;Reach","Permits","Annulation",11,24250
"Acquisition","B2B","LinkedIn|SEA",38,5,18650,3575,1020,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle",10,30650
"Awareness","B2C","Radio|Social",22,3,4320,865,212,"Notoriété","Spot;Posts","Reach;Impr","Production","Diffusion",7,9440
"Retention","SMB","Email|Support",82,2,930,335,118,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps",5,4300
"Launch","B2B","Events|PR",121,8,26050,20800,3260,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",15,76850
"Branding","GenZ","Instagram|UGC",31,4,9420,2145,545,"Notoriété","UGC;Visuels","Views;Engagement","Creators","Rejet",9,15550
"Acquisition","B2C","SEA|Display",28,5,10380,1875,495,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC",8,17480
"Awareness","B2B","LinkedIn|Webinar",52,4,6420,2075,445,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",7,14520
"Retention","B2C","Email|SMS",31,3,2230,665,185,"Réachat","Offers;Reminders","Repeat;Open","DB","Opt-out",6,7830
"Launch","SMB","Email|SEA",32,5,15380,3055,735,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug",11,26450
"Branding","B2C","OOH|TV",76,7,51280,12260,2610,"Notoriété","Spot;OOH","Reach;Recall","Production","Coût",14,87550
"Acquisition","GenZ","Social|Influencer",26,4,7240,1070,322,"Installs","Ads;Creators","CPI;Engagement","App","Rejet",9,13000
"Awareness","B2C","Display|Video",40,3,6780,990,282,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo",7,12100
"Retention","Millennials","Email|Social",36,3,3230,790,242,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation",6,9800
"Launch","B2B","LinkedIn|Events",59,6,11650,9680,1415,"Demos","Event;Case studies","Registrations;Demos","Sales","Speakers",10,35250
"Branding","SMB","Social|Email",41,4,5670,1715,468,"Image locale","Visuels;Emails","Engagement;Open","Partners","Ciblage",8,13500
"Acquisition","B2C","SEA|Social",27,5,13120,2315,638,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",9,21450
"Awareness","B2B","PR|LinkedIn",39,3,3680,1220,338,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture",7,10350
"Retention","GenZ","App|Push",30,4,3140,678,255,"Engagement","Push;Offers","DAU;Retention","App","Opt-out",6,8720
"Launch","B2C","Social|Influencer",24,6,18150,4440,1195,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison",12,30400
"Acquisition","B2C","SEA|Social",30,5,12100,2450,600,"Ventes","Landing;Ads","CPA;CTR","SEO","CPC élevé",8,18100
"Awareness","B2C","Social|Display",26,4,6950,1480,390,"Notoriété","Visuels;Bannières","Impressions;Reach","Création","Faible reach",7,11050
"Retention","SMB","Email|CRM",60,2,1520,610,200,"Fidélisation","Emails;Programmes","Open rate;Churn","Support","Données incomplètes",5,4550
"Launch","B2B","LinkedIn|Events",90,6,14100,10050,1500,"Lancement produit","Event;Demo","Leads;Demos","Dev","Retard livraison",12,36200
"Branding","GenZ","TikTok|Influencer",35,4,9600,2250,520,"Notoriété","Shorts;UGC","Views;Engagement","Creators","Contenu rejeté",9,16200
"Acquisition","B2C","SEA|Display",28,5,11100,1820,455,"Conversions","Ads;Landing","CPA;ROAS","SEO","Concurrence CPC",8,16600
"Awareness","B2B","PR|LinkedIn",40,3,5050,1220,310,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture limitée",7,9800
"Retention","B2C","Email|SMS",20,3,1850,520,150,"Réachat","Offers;Reminders","Repeat rate;Open","DB","Opt-out",6,5300
"Launch","SMB","Email|SEA",45,5,16200,3550,820,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug signup",11,28200
"Branding","Millennials","Social|Events",60,6,10100,6100,920,"Image marque","Event;Content","Sentiment;Reach","Permits","Annulation event",10,23200
"Acquisition","B2B","LinkedIn|Email",50,5,20100,4050,1010,"Leads","Ads;Case studies","CPL;MQL","Sales","Cycle long",12,33400
"Awareness","B2C","Radio|Social",22,3,4550,920,230,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",7,10000
"Retention","SMB","Support|Email",80,2,1050,320,120,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",5,4350
"Launch","B2B","Events|PR",120,8,30500,22200,3250,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",15,83800
"Branding","GenZ","Instagram|Influencer",33,4,8900,2050,530,"Notoriété","Visuels;UGC","Engagement;Shares","Creators","Rejet contenu",9,15400
"Acquisition","B2C","SEA|Social",26,5,10600,1720,470,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC élevé",8,17100
"Awareness","B2B","LinkedIn|Webinar",48,4,7050,2120,430,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",7,13600
"Retention","B2C","App|Push",30,3,2550,720,210,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out massifs",6,6900
"Launch","SMB","Social|Influencer",18,6,15200,4050,1020,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison lente",12,27400
"Branding","B2C","OOH|Social",55,5,9800,4300,720,"Notoriété locale","Affiches;Posts","Reach;Recall","Permis locaux","Refus emplacement",9,20000
"Acquisition","GenZ","Social|Influencer",24,4,8200,1150,310,"Installations","Ads;Creators","CPI;Engagement","App store","Rejet app",9,13300
"Awareness","B2C","Display|Video",36,3,6300,1010,260,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo non validée",7,11350
"Retention","Millennials","Email|Social",34,3,2650,820,215,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation faible",6,9250
"Launch","B2B","LinkedIn|Events",56,6,11600,9600,1320,"Demos","Event;Case studies","Registrations;Demos","Sales","Disponibilité speakers",10,34700
"Branding","SMB","Social|Email",38,4,5250,1520,420,"Image locale","Visuels;Emails","Engagement;Open rate","Local partners","Ciblage",8,12600
"Acquisition","B2C","SEA|Social",23,5,12600,2120,585,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",9,20400
"Awareness","B2B","Display|PR",44,3,3950,1200,310,"Visibilité","Ads;Communiqué","Impressions;Mentions","Aucun","Faible reach",7,10200
"Retention","GenZ","App|Social",29,4,2850,700,230,"Engagement","In-app offers;Content","DAU;Retention","App team","Crash app",6,8400
